Title,URL,Description,Structures Involved,Related Conditions
Plank Shoulder Clock,https://www.rehabhero.ca/exercise/plank-shoulder-clock,"PLANK SHOULDER CLOCK
This is a shoulder stability exercise that uses a loop band to provide resistance. Start by going into a tall plank. Proceed to stretch the band by reaching outwards with your hand in the direction of an hour mark on a clock. Return back to start position and repeat for the other directions.
Muscles Involved:
Serratus Anterior
Rotator Cuff
Trapezius
Related Conditions:
Shoulder Impingement
Dynamic Shoulder Instability
Labral Tear
Rotator Cuff Tear / Tendinopathy / Tendinitis
SLAP Lesion
Posterior Capsule Impingement
Winged Scapula / Scapular Winging
Scapular Dyskinesis
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"Shoulder Impingement
Dynamic Shoulder Instability
Labral Tear
Rotator Cuff Tear / Tendinopathy / Tendinitis
SLAP Lesion
Posterior Capsule Impingement
Winged Scapula / Scapular Winging
Scapular Dyskinesis
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Arm Bar,https://www.rehabhero.ca/exercise/arm-bar,"ARM BAR
This exercise is a closed kinetic chain exercise that focuses on increasing shoulder stability. Start by hold a weight with a straight arm right about your shoulder when laying on your back. Transition to a side laying position by log rolling your entire body away from the raised arm. During this motion it is important to focus on keeping your arm as perpendicular to the floor as possible. Slowly transitions to the start position and repeat.
Muscles Involved:
Rotator Cuff (Supraspinatus)
Deltoids (Lateral Deltoid)
Serratus Anterior
Related Conditions:
Rotator Cuff Tear
Shoulder Impingement
Shoulder Instability
Shoulder Labral Tear
Shoulder Dislocation / Shoulder Subluxation
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"Rotator Cuff Tear
Shoulder Impingement
Shoulder Instability
Shoulder Labral Tear
Shoulder Dislocation / Shoulder Subluxation
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Slant Board Calf Raise,https://www.rehabhero.ca/exercise/slant-board-calf-raise,"SLANT BOARD CALF RAISE
The slant board calf raise exercise is used to strengthen the muscles of the calf using a slant board to increase workable range of motion. Start by standing on a slant board that is angled at 15, 30, or 45 degrees. You may choose which angle to place the slant board at depending on your current level of fitness and tolerable range. Place the slant board with the ramp of the board facing towards you (when you are on the board your ankles will be in dorsiflexion / your toes will be raised higher than your heels). Use a wall for additional balance if required. Raise both heels up as high as you can. Distribute your weight evenly across the balls of each toe. Lower your heels as far as possible without lifting the toes to complete a repetition
Structures Involved:
Calves
Gastrocnemius
Soleus
Achilles Tendon
Plantar Fascia
Related Conditions:
Achilles Tendinitis / Achilles Tendinopathy
Plantar Fasciitis
Calf Strain
Ankle instability
posterior ankle impingement
ankle sprain
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional","Calves
Gastrocnemius
Soleus
Achilles Tendon
Plantar Fascia","Achilles Tendinitis / Achilles Tendinopathy
Plantar Fasciitis
Calf Strain
Ankle instability
posterior ankle impingement
ankle sprain
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Archer Rows,https://www.rehabhero.ca/exercise/archer-rows,"ARCHER ROWS
This is a thoracic rotation based scapular retraction exercise. Stand in a staggered stance. Hold the band with one arm straight out in front of you at shoulder height. Pull the band with your other arm to ‘row’ it while you rotate your spine away from the front hand. Squeeze the shoulder blades back and together and slowly return to start position.
Structures Involved:
Thoracic Spine
Scapulothoracic Joint
Glenohumeral Joint
Rhomboids
Trapezius
Deltoids
Rotator Cuff
Related Conditions:
Shoulder Impingement
Rib Joint Pain
Rotator Cuff Tear, Tendinopathy, or Tendinitis
Upper Cross Syndrome
Text Neck
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional","Thoracic Spine
Scapulothoracic Joint
Glenohumeral Joint
Rhomboids
Trapezius
Deltoids
Rotator Cuff","Shoulder Impingement
Rib Joint Pain
Rotator Cuff Tear, Tendinopathy, or Tendinitis
Upper Cross Syndrome
Text Neck
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Seated Calf Raises,https://www.rehabhero.ca/exercise/seated-calf-raises,"SEATED CALF RAISES
The seated calf raise is used to specifically target the Soleus muscle. While seated, place a yoga block or weight plate to elevate your forefoot.  Add resistance to the exercise by placing a weight on top of your thigh near your knee. Raise the heel as high up as possible and then lower them to max depth without lifting the toes off of the weight plate/ yoga block.
Muscles Involved:
Calf (Soleus > Gastrocnemius)
Related Conditions:
Achilles Tendinitis / Achilles Tendinopathy
Calf Strain
Plantar Fasciitis
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"Achilles Tendinitis / Achilles Tendinopathy
Calf Strain
Plantar Fasciitis
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Dumbbell Curl and Press,https://www.rehabhero.ca/exercise/dumbbell-curl-and-press,"DUMBBELL CURL AND PRESS
The dumbbell curl and press exercise is used to strength both the biceps and shoulder muscles. Start by holding a single dumbbell with both of your hands. Hold the weight by each of the ends. Bend both elbows to curl the weight. Once at shoulder height begin to lift it overhead. Reverse the motion to complete a repetition by lowering the weight back down to shoulder height, then extend the elbows to a rested position.
Muscles involved:
biceps brachii
coracobrachialis
anterior deltoid
Related conditions:
biceps pulley sling irritation
shoulder impingement
long head of biceps tendinitis
biceps instability
dynamic shoulder instability
rotator cuff tendinitis
anterior deltoid strain
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"biceps pulley sling irritation
shoulder impingement
long head of biceps tendinitis
biceps instability
dynamic shoulder instability
rotator cuff tendinitis
anterior deltoid strain
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Banded Tip Toe Side Steps,https://www.rehabhero.ca/exercise/banded-tip-toe-side-steps,"BANDED TIP TOE SIDE STEPS
This is a closed kinetic chain strengthening exercise for the ankle. Loop a mini band around the lower leg just above the ankles and stand on your toes. Step to the side without allowing the heels to drop towards the floor. Take 5-10 steps in one direction and then the opposite direction.
Muscles Involved:
Fibularis Longus / Peroneus Longus
Fibularis Brevis / Peroneus Brevis
Extensor Digitorum Longus
Tibialis Anterior
Calf (Soleus, Gastrocnemius)
Achilles Tendon
Related Conditions:
Peroneal Tendinitis / Fibularis Tendinitis
Anterior Shin Splints / Tibialis Anterior Tendinitis
Inversion Ankle Sprain
Eversion Ankle Sprain
High Ankle Sprain
Chronic Ankle Sprain
Achilles Tendinitis
Posterior Ankle Impingement
Posterior Shin Splints / Tibialis Posterior Tendinitis
Medial Tibial Stress Syndrome
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"Peroneal Tendinitis / Fibularis Tendinitis
Anterior Shin Splints / Tibialis Anterior Tendinitis
Inversion Ankle Sprain
Eversion Ankle Sprain
High Ankle Sprain
Chronic Ankle Sprain
Achilles Tendinitis
Posterior Ankle Impingement
Posterior Shin Splints / Tibialis Posterior Tendinitis
Medial Tibial Stress Syndrome
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Table Assisted Shoulder External Rotation,https://www.rehabhero.ca/exercise/table-assisted-shoulder-external-rotation,"TABLE ASSISTED SHOULDER EXTERNAL ROTATION
The table assisted shoulder external rotation stretch is used to target the internal rotators of the shoulder. Start by placing your elbow on a table and sit parallel to it. Bend your elbow to 90 degrees and place the palm of your hand on the table. Begin the stretch by leaning forwards with your torso. Go as far as you can tolerate pain free and hold the stretch for up to 30 second. Rest for 30 seconds before completing another repetition if needed.
Muscles involved:
pectoralis major
latissimus dorsi
teres major
subscapularis
Related conditions:
rotator cuff tendonitis / tendonopathy
frozen shoulder
adhesive capsulitis
shoulder impingement
latissimus dorsi contracture
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"rotator cuff tendonitis / tendonopathy
frozen shoulder
adhesive capsulitis
shoulder impingement
latissimus dorsi contracture
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Unilateral Y Raise,https://www.rehabhero.ca/exercise/unilateral-y-raise,"UNILATERAL Y RAISE
This exercise can be done in any position such as sitting or standing, or in a split squat as shown in the video. Anchor the band near the middle of your chest with one hand and use the other to pull it over head at a roughly 130 degree angle. Hold the band further from your chest to increase the difficulty of the exercise.
Muscles Involved:
Lower Trapezius
Rotator Cuff
Related Conditions:
Shoulder Impingement
Rotator Cuff Tear
Upper Cross Syndrome
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional",,"Shoulder Impingement
Rotator Cuff Tear
Upper Cross Syndrome
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
Alternating Butt Kicks,https://www.rehabhero.ca/exercise/alternating-butt-kicks,"ALTERNATING BUTT KICKS
This is a running drill that can be used to warm up. Start by gently hopping from one foot to the next. While maintaining an alternating 2 hop rhythm, bend the knee on the third hop to kick the heel towards your buttock. Repeat this pattern for the other leg and continue for roughly 20-30 seconds or until a warm up effect is reached.
Structures Involved:
Hamstrings
Quadriceps
Calves
Gastrocnemius
Soleus
Achilles tendon
Related Conditions:
Running Warmup / Running Drill
Runner’s Knee
Patellofemoral Pain Syndrome
Iliopsoas Tendinitis / Tendinopathy
Rectus Femoris Strain
Hamstring Strain
Achilles Tendinopathy
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional","Hamstrings
Quadriceps
Calves
Gastrocnemius
Soleus
Achilles tendon","Running Warmup / Running Drill
Runner’s Knee
Patellofemoral Pain Syndrome
Iliopsoas Tendinitis / Tendinopathy
Rectus Femoris Strain
Hamstring Strain
Achilles Tendinopathy
Sign up to be the first to find out when we add new exercise videos, amenities, and more. We respect your privacy and will never share your information with any third-party vendors.


Terms and ConditionsPrivate Policy FAQs
woodbine@rehabhero.casheppard@rehabhero.caPhone: 1+(647) 947-9491Fax: 1+(647) 370-6540
The information in this site is not intended nor implied to be a substituted for professional medical advice, diagnosis or treatment. All content, including text, graphics, images, videos, and information, contained in this site is for general information purposes only and does not replace a consultation with your own doctor/health professional"
